[iter=39290] rollout_mean_bb=5.5977 policy_loss=0.016706 value_loss=1.787763
[iter=39295] rollout_mean_bb=6.3965 policy_loss=-0.071387 value_loss=1.953559
[iter=39300] rollout_mean_bb=16.7275 policy_loss=-0.008654 value_loss=2.099604
[iter=39305] rollout_mean_bb=5.1191 policy_loss=0.023068 value_loss=2.152846
[iter=39310] rollout_mean_bb=18.7002 policy_loss=-0.003170 value_loss=1.730036
[iter=39315] rollout_mean_bb=11.4219 policy_loss=0.085595 value_loss=1.831669
[iter=39320] rollout_mean_bb=13.1787 policy_loss=0.007242 value_loss=1.760395
[iter=39325] rollout_mean_bb=6.3994 policy_loss=0.006042 value_loss=1.994447
[iter=39330] rollout_mean_bb=16.7637 policy_loss=-0.026997 value_loss=1.464863
[iter=39335] rollout_mean_bb=10.2217 policy_loss=0.002340 value_loss=1.756106
[iter=39340] rollout_mean_bb=19.5889 policy_loss=0.064799 value_loss=1.827385
[iter=39345] rollout_mean_bb=21.8955 policy_loss=0.010577 value_loss=1.613121
[iter=39350] rollout_mean_bb=22.0654 policy_loss=-0.010142 value_loss=1.647256
[iter=39355] rollout_mean_bb=18.6143 policy_loss=0.058523 value_loss=2.327275
[iter=39360] rollout_mean_bb=5.7656 policy_loss=0.108651 value_loss=2.331243
[iter=39365] rollout_mean_bb=10.9443 policy_loss=-0.002508 value_loss=1.783552
[iter=39370] rollout_mean_bb=17.0820 policy_loss=-0.043823 value_loss=1.942621
[iter=39375] rollout_mean_bb=20.4902 policy_loss=-0.055225 value_loss=1.571711
[iter=39380] rollout_mean_bb=15.1436 policy_loss=0.004211 value_loss=1.866768
[iter=39385] rollout_mean_bb=16.1270 policy_loss=-0.040901 value_loss=1.767020
[iter=39390] rollout_mean_bb=15.8604 policy_loss=-0.062602 value_loss=1.424887
[iter=39395] rollout_mean_bb=13.4990 policy_loss=-0.024984 value_loss=1.782128
[iter=39400] rollout_mean_bb=11.1816 policy_loss=0.060625 value_loss=2.030543
[iter=39405] rollout_mean_bb=6.7891 policy_loss=0.046077 value_loss=2.011919
[iter=39410] rollout_mean_bb=19.3857 policy_loss=-0.007098 value_loss=1.869940
[iter=39415] rollout_mean_bb=0.3359 policy_loss=0.043174 value_loss=1.895985
[iter=39420] rollout_mean_bb=10.8213 policy_loss=0.098028 value_loss=2.198083
[iter=39425] rollout_mean_bb=14.5879 policy_loss=0.041293 value_loss=1.894987
[iter=39430] rollout_mean_bb=15.7432 policy_loss=0.011766 value_loss=1.650171
[iter=39435] rollout_mean_bb=13.5225 policy_loss=0.025420 value_loss=2.188288
[iter=39440] rollout_mean_bb=12.1055 policy_loss=0.029071 value_loss=2.272191
[iter=39445] rollout_mean_bb=14.3818 policy_loss=0.048254 value_loss=1.856693
[iter=39450] rollout_mean_bb=16.3447 policy_loss=0.007674 value_loss=1.862239
[iter=39455] rollout_mean_bb=6.7393 policy_loss=0.012567 value_loss=2.063838
[iter=39460] rollout_mean_bb=5.4258 policy_loss=-0.015104 value_loss=1.841032
[iter=39465] rollout_mean_bb=9.5420 policy_loss=0.007506 value_loss=1.858167
[iter=39470] rollout_mean_bb=23.9287 policy_loss=0.011406 value_loss=1.805447
[iter=39475] rollout_mean_bb=25.4258 policy_loss=-0.141471 value_loss=1.452878
[iter=39480] rollout_mean_bb=21.4873 policy_loss=0.025554 value_loss=1.630369
[iter=39485] rollout_mean_bb=11.8145 policy_loss=-0.009956 value_loss=1.886023
[iter=39490] rollout_mean_bb=23.1465 policy_loss=-0.030881 value_loss=1.874547
[iter=39495] rollout_mean_bb=13.7891 policy_loss=0.046370 value_loss=2.199398
[iter=39500] rollout_mean_bb=8.8926 policy_loss=0.069155 value_loss=2.259930
[iter=39505] rollout_mean_bb=20.4277 policy_loss=-0.045047 value_loss=1.671299
[iter=39510] rollout_mean_bb=15.4863 policy_loss=0.006660 value_loss=2.127082
[iter=39515] rollout_mean_bb=14.3369 policy_loss=0.028661 value_loss=1.868556
[iter=39520] rollout_mean_bb=18.1816 policy_loss=0.012234 value_loss=1.977672
[iter=39525] rollout_mean_bb=16.7354 policy_loss=-0.039469 value_loss=1.852566
[iter=39530] rollout_mean_bb=10.6416 policy_loss=0.050654 value_loss=1.929483
[iter=39535] rollout_mean_bb=7.4688 policy_loss=0.089066 value_loss=2.254160
[iter=39540] rollout_mean_bb=9.9033 policy_loss=-0.007376 value_loss=1.768250
[iter=39545] rollout_mean_bb=7.0742 policy_loss=0.000245 value_loss=1.785406
[iter=39550] rollout_mean_bb=19.0039 policy_loss=0.061184 value_loss=2.038814
[iter=39555] rollout_mean_bb=20.2041 policy_loss=-0.006799 value_loss=1.726721
[iter=39560] rollout_mean_bb=7.8398 policy_loss=0.109673 value_loss=1.949753
[iter=39565] rollout_mean_bb=11.1533 policy_loss=0.009681 value_loss=1.892402
[iter=39570] rollout_mean_bb=3.7354 policy_loss=0.047471 value_loss=2.241090
[iter=39575] rollout_mean_bb=12.1748 policy_loss=0.019006 value_loss=1.943418
[iter=39580] rollout_mean_bb=8.5576 policy_loss=0.018191 value_loss=2.154629
[iter=39585] rollout_mean_bb=9.8145 policy_loss=0.008801 value_loss=1.985841
[iter=39590] rollout_mean_bb=14.4111 policy_loss=0.028337 value_loss=1.733749
[iter=39595] rollout_mean_bb=9.7832 policy_loss=0.021963 value_loss=1.955023
[iter=39600] rollout_mean_bb=20.6436 policy_loss=0.040241 value_loss=2.019327
[iter=39605] rollout_mean_bb=25.0303 policy_loss=0.080304 value_loss=2.108982
[iter=39610] rollout_mean_bb=16.6230 policy_loss=0.026656 value_loss=1.872017
[iter=39615] rollout_mean_bb=8.0742 policy_loss=0.019721 value_loss=1.893217
[iter=39620] rollout_mean_bb=18.7168 policy_loss=0.005491 value_loss=1.633635
[iter=39625] rollout_mean_bb=7.2441 policy_loss=0.012862 value_loss=1.979359
[iter=39630] rollout_mean_bb=13.3496 policy_loss=0.008573 value_loss=1.688678
[iter=39635] rollout_mean_bb=15.3271 policy_loss=0.029593 value_loss=2.016971
[iter=39640] rollout_mean_bb=20.0156 policy_loss=-0.077116 value_loss=1.469444
[iter=39645] rollout_mean_bb=16.9395 policy_loss=-0.010835 value_loss=1.798982
[iter=39650] rollout_mean_bb=13.0498 policy_loss=0.007928 value_loss=1.645332
[iter=39655] rollout_mean_bb=15.0527 policy_loss=0.014178 value_loss=2.135498
[iter=39660] rollout_mean_bb=14.3633 policy_loss=-0.065176 value_loss=1.785528
[iter=39665] rollout_mean_bb=16.6084 policy_loss=-0.021045 value_loss=1.837607
[iter=39670] rollout_mean_bb=16.5322 policy_loss=-0.000826 value_loss=1.958093
[iter=39675] rollout_mean_bb=10.3271 policy_loss=-0.042706 value_loss=1.686397
[iter=39680] rollout_mean_bb=23.8047 policy_loss=0.020735 value_loss=2.073925
[iter=39685] rollout_mean_bb=9.6201 policy_loss=0.081985 value_loss=2.117884
[iter=39690] rollout_mean_bb=17.9180 policy_loss=0.028387 value_loss=1.925974
[iter=39695] rollout_mean_bb=12.8760 policy_loss=0.033074 value_loss=1.685871
[iter=39700] rollout_mean_bb=17.0840 policy_loss=-0.055391 value_loss=1.708055
[iter=39705] rollout_mean_bb=12.0508 policy_loss=0.084294 value_loss=1.826037
[iter=39710] rollout_mean_bb=19.3584 policy_loss=0.015202 value_loss=1.739119
[iter=39715] rollout_mean_bb=10.8730 policy_loss=0.087339 value_loss=2.260476
[iter=39720] rollout_mean_bb=13.0156 policy_loss=-0.023731 value_loss=2.026341
[iter=39725] rollout_mean_bb=16.4277 policy_loss=0.042995 value_loss=2.204070
[iter=39730] rollout_mean_bb=11.0273 policy_loss=0.027416 value_loss=1.807061
[iter=39735] rollout_mean_bb=13.8145 policy_loss=-0.005072 value_loss=2.005487
